coefficient,agentNo,coefficientVal,desiredProfit,distanceRes
dist,10,0.12500,45,132341.30
dist,1,0.25000,45,142647.36
dist,2,0.25000,45,129697.90
dist,4,0.25000,45,132341.30
dist,8,0.25000,45,132341.30
dist,10,0.25000,45,132341.30
dist,1,0.50000,45,142647.36
dist,2,0.50000,45,129697.90
dist,4,0.50000,45,132341.30
dist,8,0.50000,45,132341.30
dist,10,0.50000,45,132341.30
dist,1,1.00000,45,142647.36
dist,2,1.00000,45,129697.90
dist,4,1.00000,45,132341.30
dist,8,1.00000,45,132341.30
dist,10,1.00000,45,132341.30
dist,1,2.00000,45,142647.36
dist,2,2.00000,45,129697.90
dist,4,2.00000,45,132341.30
dist,8,2.00000,45,132341.30
dist,10,2.00000,45,132341.30
dist,1,4.00000,45,142647.36
dist,2,4.00000,45,129697.90
dist,4,4.00000,45,132341.30
dist,8,4.00000,45,132341.30
dist,10,4.00000,45,132341.30
dist,1,8.00000,45,142647.36
dist,2,8.00000,45,129697.90
dist,4,8.00000,45,132341.30
dist,8,8.00000,45,132341.30
dist,10,8.00000,45,132341.30
dist,1,16.00000,45,142647.36
dist,2,16.00000,45,129697.90
dist,4,16.00000,45,132341.30
dist,8,16.00000,45,132341.30
dist,10,16.00000,45,132341.30
dist,1,32.00000,45,142647.36
dist,2,32.00000,45,129697.90
dist,4,32.00000,45,132341.30
dist,8,32.00000,45,132341.30
dist,10,32.00000,45,132341.30
dist,1,64.00000,45,142647.36
dist,2,64.00000,45,129697.90
dist,4,64.00000,45,132341.30
dist,8,64.00000,45,132341.30
dist,10,64.00000,45,132341.30
dist,1,-1.00000,50,111708.88
dist,2,-1.00000,50,165262.68
dist,4,-1.00000,50,253273.01
dist,8,-1.00000,50,365688.21
dist,10,-1.00000,50,399034.59
dist,1,0.03125,50,156170.08
dist,2,0.03125,50,160616.62
dist,4,0.03125,50,165094.70
dist,8,0.03125,50,165094.70
dist,10,0.03125,50,165094.70
dist,1,0.06250,50,156170.08
dist,2,0.06250,50,160616.62
dist,4,0.06250,50,165094.70
dist,8,0.06250,50,165094.70
dist,10,0.06250,50,165094.70
dist,1,0.12500,50,156170.08
dist,2,0.12500,50,160616.62
dist,4,0.12500,50,165094.70
dist,8,0.12500,50,165094.70
dist,10,0.12500,50,165094.70
dist,1,0.25000,50,156170.08
dist,2,0.25000,50,160616.62
dist,4,0.25000,50,165094.70
dist,8,0.25000,50,165094.70
dist,10,0.25000,50,165094.70
dist,1,0.50000,50,156170.08
dist,2,0.50000,50,160616.62
dist,4,0.50000,50,165094.70
dist,8,0.50000,50,165094.70
dist,10,0.50000,50,165094.70
dist,1,1.00000,50,156170.08
dist,2,1.00000,50,160616.62
dist,4,1.00000,50,165094.70
dist,8,1.00000,50,165094.70
dist,10,1.00000,50,165094.70
dist,1,2.00000,50,156170.08
dist,2,2.00000,50,160616.62
dist,4,2.00000,50,165094.70
dist,8,2.00000,50,165094.70
dist,10,2.00000,50,165094.70
dist,1,4.00000,50,156170.08
dist,2,4.00000,50,160616.62
dist,4,4.00000,50,165094.70
dist,8,4.00000,50,165094.70
dist,10,4.00000,50,165094.70
dist,1,8.00000,50,156170.08
dist,2,8.00000,50,160616.62
dist,4,8.00000,50,165094.70
dist,8,8.00000,50,165094.70
dist,10,8.00000,50,165094.70
dist,1,16.00000,50,156170.08
dist,2,16.00000,50,160616.62
dist,4,16.00000,50,165094.70
dist,8,16.00000,50,165094.70
dist,10,16.00000,50,165094.70
dist,1,32.00000,50,156170.08
dist,2,32.00000,50,160616.62
dist,4,32.00000,50,165094.70
dist,8,32.00000,50,165094.70
dist,10,32.00000,50,165094.70
dist,1,64.00000,50,156170.08
dist,2,64.00000,50,160616.62
dist,4,64.00000,50,165094.70
dist,8,64.00000,50,165094.70
dist,10,64.00000,50,165094.70
dist,1,-1.00000,55,128067.47
dist,2,-1.00000,55,186482.56
dist,4,-1.00000,55,292532.18
dist,8,-1.00000,55,428168.38
dist,10,-1.00000,55,470664.66
dist,1,0.03125,55,157693.14
dist,2,0.03125,55,162767.49
dist,4,0.03125,55,169130.77
dist,8,0.03125,55,169160.13
dist,10,0.03125,55,169160.13
dist,1,0.06250,55,157693.14
dist,2,0.06250,55,162767.49
dist,4,0.06250,55,169130.77
dist,8,0.06250,55,169160.13
dist,10,0.06250,55,169160.13
dist,1,0.12500,55,157693.14
dist,2,0.12500,55,162767.49
dist,4,0.12500,55,169130.77
dist,8,0.12500,55,169160.13
dist,10,0.12500,55,169160.13
dist,1,0.25000,55,157693.14
dist,2,0.25000,55,162767.49
dist,4,0.25000,55,169130.77
dist,8,0.25000,55,169160.13
dist,10,0.25000,55,169160.13
dist,1,0.50000,55,157693.14
dist,2,0.50000,55,162767.49
dist,4,0.50000,55,169130.77
dist,8,0.50000,55,169160.13
dist,10,0.50000,55,169160.13
dist,1,1.00000,55,157693.14
dist,2,1.00000,55,162767.49
dist,4,1.00000,55,169130.77
dist,8,1.00000,55,169160.13
dist,10,1.00000,55,169160.13
dist,1,2.00000,55,157693.14
dist,2,2.00000,55,162767.49
dist,4,2.00000,55,169130.77
dist,8,2.00000,55,169160.13
dist,10,2.00000,55,169160.13
dist,1,4.00000,55,157693.14
dist,2,4.00000,55,162767.49
dist,4,4.00000,55,169130.77
dist,8,4.00000,55,169160.13
dist,10,4.00000,55,169160.13
dist,1,8.00000,55,157693.14
dist,2,8.00000,55,162767.49
dist,4,8.00000,55,169130.77
dist,8,8.00000,55,169160.13
dist,10,8.00000,55,169160.13
dist,1,16.00000,55,157693.14
dist,2,16.00000,55,162767.49
dist,4,16.00000,55,169130.77
dist,8,16.00000,55,169160.13
dist,10,16.00000,55,169160.13
dist,1,32.00000,55,157693.14
dist,2,32.00000,55,162767.49
dist,4,32.00000,55,169130.77
dist,8,32.00000,55,169160.13
dist,10,32.00000,55,169160.13
dist,1,64.00000,55,157693.14
dist,2,64.00000,55,162767.49
dist,4,64.00000,55,169130.77
dist,8,64.00000,55,169160.13
dist,10,64.00000,55,169160.13
dist,1,-1.00000,60,153306.44
dist,2,-1.00000,60,231111.68
dist,4,-1.00000,60,346830.56
dist,8,-1.00000,60,538267.02
dist,10,-1.00000,60,596439.37
dist,1,0.03125,60,159216.20
dist,2,0.03125,60,164887.82
dist,4,0.03125,60,171253.11
dist,8,0.03125,60,171296.65
dist,10,0.03125,60,171296.65
dist,1,0.06250,60,159216.20
dist,2,0.06250,60,164887.82
dist,4,0.06250,60,171253.11
dist,8,0.06250,60,171296.65
dist,10,0.06250,60,171296.65
dist,1,0.12500,60,159216.20
dist,2,0.12500,60,164887.82
dist,4,0.12500,60,171253.11
dist,8,0.12500,60,171296.65
dist,10,0.12500,60,171296.65
dist,1,0.25000,60,159216.20
dist,2,0.25000,60,164887.82
dist,4,0.25000,60,171253.11
dist,8,0.25000,60,171296.65
dist,10,0.25000,60,171296.65
dist,1,0.50000,60,159216.20
dist,2,0.50000,60,164887.82
dist,4,0.50000,60,171253.11
dist,8,0.50000,60,171296.65
dist,10,0.50000,60,171296.65
dist,1,1.00000,60,159216.20
dist,2,1.00000,60,164887.82
dist,4,1.00000,60,171253.11
dist,8,1.00000,60,171296.65
dist,10,1.00000,60,171296.65
dist,1,2.00000,60,159216.20
dist,2,2.00000,60,164887.82
dist,4,2.00000,60,171253.11
dist,8,2.00000,60,171296.65
dist,10,2.00000,60,171296.65
dist,1,4.00000,60,159216.20
dist,2,4.00000,60,164887.82
dist,4,4.00000,60,171253.11
dist,8,4.00000,60,171296.65
dist,10,4.00000,60,171296.65
dist,1,8.00000,60,159216.20
dist,2,8.00000,60,164887.82
dist,4,8.00000,60,171253.11
dist,8,8.00000,60,171296.65
dist,10,8.00000,60,171296.65
dist,1,16.00000,60,159216.20
dist,2,16.00000,60,164887.82
dist,4,16.00000,60,171253.11
dist,8,16.00000,60,171296.65
dist,10,16.00000,60,171296.65
dist,1,32.00000,60,159216.20
dist,2,32.00000,60,164887.82
dist,4,32.00000,60,171253.11
dist,8,32.00000,60,171296.65
dist,10,32.00000,60,171296.65
dist,1,64.00000,60,159216.20
dist,2,64.00000,60,164887.82
dist,4,64.00000,60,171253.11
dist,8,64.00000,60,171296.65
dist,10,64.00000,60,171296.65
dist,1,-1.00000,65,168886.52
dist,2,-1.00000,65,258736.67
dist,4,-1.00000,65,392043.77
dist,8,-1.00000,65,585970.82
dist,10,-1.00000,65,649930.45
dist,1,0.03125,65,159216.20
dist,2,0.03125,65,164887.82
dist,4,0.03125,65,171253.11
dist,8,0.03125,65,171296.65
dist,10,0.03125,65,171296.65
dist,1,0.06250,65,159216.20
dist,2,0.06250,65,164887.82
dist,4,0.06250,65,171253.11
dist,8,0.06250,65,171296.65
dist,10,0.06250,65,171296.65
dist,1,0.12500,65,159216.20
dist,2,0.12500,65,164887.82
dist,4,0.12500,65,171253.11
dist,8,0.12500,65,171296.65
dist,10,0.12500,65,171296.65
dist,1,0.25000,65,159216.20
dist,2,0.25000,65,164887.82
dist,4,0.25000,65,171253.11
dist,8,0.25000,65,171296.65
dist,10,0.25000,65,171296.65
dist,1,0.50000,65,159216.20
dist,2,0.50000,65,164887.82
dist,4,0.50000,65,171253.11
dist,8,0.50000,65,171296.65
dist,10,0.50000,65,171296.65
