agents,distanceMultiplier,profitMultiplier,time,distance
1,0.40,0.40,65360.00,655474.51
2,0.40,0.40,22590.00,763343.55
4,0.40,0.40,17020.00,1043540.21
8,0.40,0.40,13900.00,1587668.60
1,0.40,0.50,66450.00,655474.51
2,0.40,0.50,22720.00,763343.55
4,0.40,0.50,17710.00,1043540.21
8,0.40,0.50,13020.00,1587668.60
1,0.40,0.60,69100.00,655474.51
2,0.40,0.60,23840.00,763343.55
4,0.40,0.60,22400.00,1043540.21
8,0.40,0.60,13300.00,1587668.60
1,0.40,0.70,65300.00,655474.51
2,0.40,0.70,22870.00,763343.55
4,0.40,0.70,17820.00,1043540.21
8,0.40,0.70,15150.00,1587668.60
1,0.40,0.80,65210.00,655474.51
2,0.40,0.80,22980.00,763343.55
4,0.40,0.80,16790.00,1043540.21
8,0.40,0.80,13010.00,1587668.60
1,0.40,0.90,71340.00,655474.51
2,0.40,0.90,22900.00,763343.55
4,0.40,0.90,17130.00,1043540.21
8,0.40,0.90,16390.00,1587668.60
1,0.40,1.00,65440.00,655474.51
2,0.40,1.00,23770.00,763343.55
4,0.40,1.00,18390.00,1043540.21
8,0.40,1.00,13120.00,1587668.60
1,0.40,1.10,65090.00,655474.51
2,0.40,1.10,23370.00,763343.55
4,0.40,1.10,17700.00,1043540.21
8,0.40,1.10,15030.00,1587668.60
1,0.40,1.20,67100.00,655474.51
2,0.40,1.20,24400.00,763343.55
4,0.40,1.20,17280.00,1043540.21
8,0.40,1.20,13740.00,1587668.60
1,0.40,1.30,65080.00,655474.51
2,0.40,1.30,22790.00,763343.55
4,0.40,1.30,17880.00,1043540.21
8,0.40,1.30,15050.00,1587668.60
1,0.40,1.40,65600.00,655474.51
2,0.40,1.40,23030.00,763343.55
4,0.40,1.40,16850.00,1043540.21
8,0.40,1.40,13150.00,1587668.60
1,0.40,1.50,70330.00,655474.51
2,0.40,1.50,22710.00,763343.55
4,0.40,1.50,17040.00,1043540.21
8,0.40,1.50,13210.00,1587668.60
1,0.40,1.60,65280.00,655474.51
2,0.40,1.60,24910.00,763343.55
4,0.40,1.60,17020.00,1043540.21
8,0.40,1.60,13390.00,1587668.60
1,0.40,1.70,65220.00,655474.51
2,0.40,1.70,22690.00,763343.55
4,0.40,1.70,16970.00,1043540.21
8,0.40,1.70,13430.00,1587668.60
1,0.40,1.80,64960.00,655474.51
2,0.40,1.80,27040.00,763343.55
4,0.40,1.80,16920.00,1043540.21
8,0.40,1.80,13450.00,1587668.60
1,0.40,1.90,65350.00,655474.51
2,0.40,1.90,22940.00,763343.55
4,0.40,1.90,17070.00,1043540.21
8,0.40,1.90,13080.00,1587668.60
